question,exp,cop,opa,opb,opc,opd,subject_name,topic_name,id,choice_type,answer,predicted_answer,gpt4_answer
Which of the following is not true for myelinated nerve fibers:,,1,Impulse through myelinated fibers is slower than non-myelinated fibers,Membrane currents are generated at nodes of Ranvier,Saltatory conduction of impulses is seen,Local anesthesia is effective only when the nerve is not covered by myelin sheath,Physiology,,45258d3d-b974-44dd-a161-c3fccbdadd88,multi,Impulse through myelinated fibers is slower than non-myelinated fibers,They are not surrounded by Schwann cells,Faster impulse conduction.
Which of the following is not true about glomerular capillaries'),"Ans-a. The oncotic pressure of the fluid leaving the capillaries is less than that of fluid entering it Guyton I LpJ1 4-.;anong 23/e p653-6_)Glomerular oncotic pressure (due to plasma protein content) is higher than that of filtrate oncotic pressure in Bowman's capsule""Since glucose is freely filtered and the fluid in the Bowman's capsule is isotonic with plasma, the concentration of glucose in the filtrate is the same as in the capillaries",1,The oncotic pressure of the fluid leaving the capillaries is less than that of fluid entering it,Glucose concentration in the capillaries is the same as that in glomerular filtrate,Constriction of afferent aeriole decreases the blood flow to the glomerulas,Hematocrit of the fluid leaving the capillaries is less than that of the fluid entering it,Physiology,,b944ada9-d776-4c2a-9180-3ae5f393f72d,multi,The oncotic pressure of the fluid leaving the capillaries is less than that of fluid entering it,The oncotic pressure of the fluid leaving the capillaries is less than that of fluid entering it,They are impermeable to large molecules.
A 29 yrs old woman with a pregnancy of 17 week has a 10 years old boy with down syndrome. She does not want another down syndrome kid; best advice to her is,,3,No test is required now as her age is below 35 years,Ultra sound at this point of time will definitely tell her that next baby will be down syndromic or not,Amniotic fluid samples plus chromosomal analysis will definitely tell her that next baby will be down syndromic or not,blood screening at this point of time will clear the exact picture,Medicine,,b64a9cd7-d076-4c55-8be1-f9c44fece6cc,single,Amniotic fluid samples plus chromosomal analysis will definitely tell her that next baby will be down syndromic or not,Nan,Consider prenatal genetic testing.
Axonal transport is:,Fast anterograde (400 mm/day) transport occurs by kinesin molecular motor and retrograde transport (200 mm/day) occurs by dynein molecular motor.,3,Antegrade,Retrograde,Antegrade and retrograde,,Physiology,,c6365cce-507c-40f6-90a2-46b867f47b6e,multi,Antegrade and retrograde,Bidirectional,Movement of materials within a neuron.
Low insulin to glucagon ratio is seen in all of these except:,"Answer- A. Glycogen synthesisLow insulin to glucagon ratio implies a catabolic state, i.e. usage of body stores to form energy, typically seen in fasting state ancl diabetes mellitus. Hence, this state will promote glycogen breakdown, gluconeogenesis as well as ketone body formation, while at the same time inhibiting glycogen synthesis and storage.",1,Glycogen synthesis,Glycogen breakdown,Gluconeogenesis,Ketogenesis,Biochemistry,,72c1c5e0-b64f-4eef-bf22-ecfb60c5c19c,multi,Glycogen synthesis,Glycogen synthesis,Feeding
Concentration of tropicamide:,"Answer- A. 0.01Tropicamide is the shoest acting mydriatic, concentration used is 0.5-l% drops (0.005-0.010).Tropicamide:Concentration used: 0.5-l% drops (0.005-0.010)Duration of action: Though effective for upto 3 hours, maximum effect appear 30 minutes after the last drop and lasts for only 10-15 minutesUsed in Adults.",1,0.01,0.02,0.03,0.04,Ophthalmology,,17360c6c-2c98-4fe2-aa85-487dcf4678df,single,0.01,0.01,0.5% to 1%
Which of the following statements is true regarding H I N1 Influenza?,Ans: A. Pregnant woman with sore throat can be staed immediately on oseltamivir without diagnostic testing under category B(Ref. http..ilviww.molifir.nic.in/WriteReadData/1892s/ 804456402Categorisation.pcifi)Pregnant woman with sore throat can be staed immediately on oseltamivir without diagnostic testing under category B.Drug of choice - Oseltamivir (given for 10 days post-exposure). Priority groups (in order) for Influenza vaccinesPregnant womenHealthy young childrenAge >6 months with chronic medical conditionsHealthy adults 49-65 years15-49 years healthy young adultsHealthy adults > 65 years,1,Pregnant woman with sore throat can be staed immediately on oseltamivir without diagnostic testing under category B,People on long-term steroids cannot receive Os-eltam ivir,Category B concerns with low risk cases,Category B patients have to undergo immediate testing,Medicine,,62fa6f78-1964-4249-974b-6fcbbd7fc9ba,multi,Pregnant woman with sore throat can be staed immediately on oseltamivir without diagnostic testing under category B,Pregnant woman with sore throat can be stated immediately on oseltamivir without diagnostic testing under category B,It primarily affects birds.
Which of the following are not a branch of external carotid Aery in Kiesselbach's plexus.,"*Kiesselbach's plexus: Antero superior pa is supplied by ANTERIOR & POSTERIOR ETHMOIDAL AERIES which are branches of ophthalmic aery, branch of INTERNAL CAROTID AERY. Antero inferior pa is supplied by SUPERIOR LABIAL AERY - branch of facial aery, which is branch of EXTERNAL CAROTID AERY. Postero superior pa is supplied by SPHENO-PALATINE AERY - branch of MAXILLARY aery, which is branch of ECA. POSTERO INFERIOR pa is supplied by branches of GREATER PALATINE AERY - branch of ECA Antero inferior pa/vestibule of septum contain anastomosis b/w septal ramus of superior labial branch of facial aery & branches of sphenopalatine, greater palatine & anterior ethmoidal aeries. These form a large capillary network called KIESSELBACH'S PLEXUS If dryness persists, bleeding will occur Therefore, in given options, Anterior ethmoidal aery is a branch of ICA not ECA",2,Sphenopalatine aery,Anterior ethmoidal aery,Greater palatine aery,Septal branch of superior labial aery,Anatomy,AIIMS 2017,ce49098b-cc48-4168-859e-936e3e0c7459,single,Anterior ethmoidal aery,Anterior ethmoidal aery,Facial artery.
Diagnosis of the following ECG-,Option A- Broad QRS complex with normal sinus rhythm Digoxine toxicity Option B- P wave with fluctuating QRS complexes is seen. showing ELECTRICAL ALTERANS seen in large pericardial effusion in which hea is swinging. Option C- N Height in P wave: 2.5mm But in P-pulmonale: || by 1.5mm,2,Ventricular bigeminy,Electrical alternans,P pulmonale,Left ventricular failure,Medicine,AIIMS 2017,18d5c4a1-cb81-41a8-9bfc-b6f7dec431d2,single,Electrical alternans,Broad QRS complex with normal sinus rhythm,Please provide the ECG details for analysis.
A blue new born presents with cyanosis. The X–ray chest reveal oligaemic lung field and normal sized heart. Most likely diagnosis is –,"The findings in this newborn are
Cyanosis at birth
Oligaemic lung .fields
Normal sized heart
Lets see each option one by one
Ebstein anomaly - It can be easily ruled out as there is marked cardiomegaly in it.
Transposition of great vessels- There is cardiomegaly and plethoric lung fields see in it. So ruled out.
Now the real confusion - between PA and TOF.
TOF - in TOF there is oligaemic lung fields and normal sized heart but usually cyanosis is not present at birth.
 
Nelson states -  ""Often cyanosis is not present at birth. but with increasing hypertrophy of the right ventricular infimdibulum and patient growth, cyanosis occurs later in the 1st year of life. But some cases may present with cyanosis at birth.""

a Pulmonary atresia -

The child is cyanotic at birth
There is pulmonary oligaemia
But the heart is of variable size (from small to enlarge)",2,Ebstein's anomaly,Pulmonary atresia,Transposition of great arteries,Tetralogy of fallot,Pediatrics,,de09d388-bd4e-42a9-ac6b-ee2d95f822e2,multi,Pulmonary atresia,Pulmonary atresia,Transposition of the great arteries
