question,exp,cop,opa,opb,opc,opd,subject_name,topic_name,id,choice_type,answer,chosen_answer,bert_score_f1,opa_score,opb_score,opc_score,opd_score,chosen_op
Which of the following is not true for myelinated nerve fibers:,,1,Impulse through myelinated fibers is slower than non-myelinated fibers,Membrane currents are generated at nodes of Ranvier,Saltatory conduction of impulses is seen,Local anesthesia is effective only when the nerve is not covered by myelin sheath,Physiology,,45258d3d-b974-44dd-a161-c3fccbdadd88,multi,Impulse through myelinated fibers is slower than non-myelinated fibers,Impulse through myelinated fibers is slower than non-myelinated fibers,1.0000001192092896,1.0000001192092896,0.7418689727783203,0.7775338292121887,0.7884689569473267,1
Which of the following is not true about glomerular capillaries'),"Ans-a. The oncotic pressure of the fluid leaving the capillaries is less than that of fluid entering it Guyton I LpJ1 4-.;anong 23/e p653-6_)Glomerular oncotic pressure (due to plasma protein content) is higher than that of filtrate oncotic pressure in Bowman's capsule""Since glucose is freely filtered and the fluid in the Bowman's capsule is isotonic with plasma, the concentration of glucose in the filtrate is the same as in the capillaries",1,The oncotic pressure of the fluid leaving the capillaries is less than that of fluid entering it,Glucose concentration in the capillaries is the same as that in glomerular filtrate,Constriction of afferent aeriole decreases the blood flow to the glomerulas,Hematocrit of the fluid leaving the capillaries is less than that of the fluid entering it,Physiology,,b944ada9-d776-4c2a-9180-3ae5f393f72d,multi,The oncotic pressure of the fluid leaving the capillaries is less than that of fluid entering it,The oncotic pressure of the fluid leaving the capillaries is less than that of fluid entering it,1.0000001192092896,1.0,0.8250992894172668,0.7721880078315735,0.9272108674049376,1
A 29 yrs old woman with a pregnancy of 17 week has a 10 years old boy with down syndrome. She does not want another down syndrome kid; best advice to her is,,3,No test is required now as her age is below 35 years,Ultra sound at this point of time will definitely tell her that next baby will be down syndromic or not,Amniotic fluid samples plus chromosomal analysis will definitely tell her that next baby will be down syndromic or not,blood screening at this point of time will clear the exact picture,Medicine,,b64a9cd7-d076-4c55-8be1-f9c44fece6cc,single,Amniotic fluid samples plus chromosomal analysis will definitely tell her that next baby will be down syndromic or not,No test is required now as her age is below 35 years,0.7032933831214905,1.0,0.6946237683296204,0.7032933831214905,0.7008244395256042,1
Axonal transport is:,Fast anterograde (400 mm/day) transport occurs by kinesin molecular motor and retrograde transport (200 mm/day) occurs by dynein molecular motor.,3,Antegrade,Retrograde,Antegrade and retrograde,,Physiology,,c6365cce-507c-40f6-90a2-46b867f47b6e,multi,Antegrade and retrograde,Antegrade and retrograde,0.9999997615814208,0.8618564009666443,0.8779747486114502,0.9999997615814208,0.6269645690917969,3
Low insulin to glucagon ratio is seen in all of these except:,"Answer- A. Glycogen synthesisLow insulin to glucagon ratio implies a catabolic state, i.e. usage of body stores to form energy, typically seen in fasting state ancl diabetes mellitus. Hence, this state will promote glycogen breakdown, gluconeogenesis as well as ketone body formation, while at the same time inhibiting glycogen synthesis and storage.",1,Glycogen synthesis,Glycogen breakdown,Gluconeogenesis,Ketogenesis,Biochemistry,,72c1c5e0-b64f-4eef-bf22-ecfb60c5c19c,multi,Glycogen synthesis,Glycogen synthesis,1.0,1.0,0.9623630046844482,0.8379427194595337,0.7955326437950134,1
Concentration of tropicamide:,"Answer- A. 0.01Tropicamide is the shoest acting mydriatic, concentration used is 0.5-l% drops (0.005-0.010).Tropicamide:Concentration used: 0.5-l% drops (0.005-0.010)Duration of action: Though effective for upto 3 hours, maximum effect appear 30 minutes after the last drop and lasts for only 10-15 minutesUsed in Adults.",1,0.01,0.02,0.03,0.04,Ophthalmology,,17360c6c-2c98-4fe2-aa85-487dcf4678df,single,0.01,0.01,1.0,1.0,0.9741423726081848,0.9690631031990052,0.956759750843048,1
Which of the following statements is true regarding H I N1 Influenza?,Ans: A. Pregnant woman with sore throat can be staed immediately on oseltamivir without diagnostic testing under category B(Ref. http..ilviww.molifir.nic.in/WriteReadData/1892s/ 804456402Categorisation.pcifi)Pregnant woman with sore throat can be staed immediately on oseltamivir without diagnostic testing under category B.Drug of choice - Oseltamivir (given for 10 days post-exposure). Priority groups (in order) for Influenza vaccinesPregnant womenHealthy young childrenAge >6 months with chronic medical conditionsHealthy adults 49-65 years15-49 years healthy young adultsHealthy adults > 65 years,1,Pregnant woman with sore throat can be staed immediately on oseltamivir without diagnostic testing under category B,People on long-term steroids cannot receive Os-eltam ivir,Category B concerns with low risk cases,Category B patients have to undergo immediate testing,Medicine,,62fa6f78-1964-4249-974b-6fcbbd7fc9ba,multi,Pregnant woman with sore throat can be staed immediately on oseltamivir without diagnostic testing under category B,Pregnant woman with sore throat can be stated immediately on oseltamivir without diagnostic testing under category B,0.9752519130706788,0.9752519130706788,0.7742146849632263,0.7422336339950562,0.7879062294960022,1
Which of the following are not a branch of external carotid Aery in Kiesselbach's plexus.,"*Kiesselbach's plexus: Antero superior pa is supplied by ANTERIOR & POSTERIOR ETHMOIDAL AERIES which are branches of ophthalmic aery, branch of INTERNAL CAROTID AERY. Antero inferior pa is supplied by SUPERIOR LABIAL AERY - branch of facial aery, which is branch of EXTERNAL CAROTID AERY. Postero superior pa is supplied by SPHENO-PALATINE AERY - branch of MAXILLARY aery, which is branch of ECA. POSTERO INFERIOR pa is supplied by branches of GREATER PALATINE AERY - branch of ECA Antero inferior pa/vestibule of septum contain anastomosis b/w septal ramus of superior labial branch of facial aery & branches of sphenopalatine, greater palatine & anterior ethmoidal aeries. These form a large capillary network called KIESSELBACH'S PLEXUS If dryness persists, bleeding will occur Therefore, in given options, Anterior ethmoidal aery is a branch of ICA not ECA",2,Sphenopalatine aery,Anterior ethmoidal aery,Greater palatine aery,Septal branch of superior labial aery,Anatomy,AIIMS 2017,ce49098b-cc48-4168-859e-936e3e0c7459,single,Anterior ethmoidal aery,Anterior ethmoidal aery,1.0000001192092896,0.786617636680603,1.0000001192092896,0.7771885991096497,0.8467795848846436,2
Diagnosis of the following ECG-,Option A- Broad QRS complex with normal sinus rhythm Digoxine toxicity Option B- P wave with fluctuating QRS complexes is seen. showing ELECTRICAL ALTERANS seen in large pericardial effusion in which hea is swinging. Option C- N Height in P wave: 2.5mm But in P-pulmonale: || by 1.5mm,2,Ventricular bigeminy,Electrical alternans,P pulmonale,Left ventricular failure,Medicine,AIIMS 2017,18d5c4a1-cb81-41a8-9bfc-b6f7dec431d2,single,Electrical alternans,Electrical alternans,1.0000001192092896,0.7472934722900391,1.0000001192092896,0.6946073770523071,0.7028157114982605,2
A blue new born presents with cyanosis. The X–ray chest reveal oligaemic lung field and normal sized heart. Most likely diagnosis is –,"The findings in this newborn are
Cyanosis at birth
Oligaemic lung .fields
Normal sized heart
Lets see each option one by one
Ebstein anomaly - It can be easily ruled out as there is marked cardiomegaly in it.
Transposition of great vessels- There is cardiomegaly and plethoric lung fields see in it. So ruled out.
Now the real confusion - between PA and TOF.
TOF - in TOF there is oligaemic lung fields and normal sized heart but usually cyanosis is not present at birth.
 
Nelson states -  ""Often cyanosis is not present at birth. but with increasing hypertrophy of the right ventricular infimdibulum and patient growth, cyanosis occurs later in the 1st year of life. But some cases may present with cyanosis at birth.""

a Pulmonary atresia -

The child is cyanotic at birth
There is pulmonary oligaemia
But the heart is of variable size (from small to enlarge)",2,Ebstein's anomaly,Pulmonary atresia,Transposition of great arteries,Tetralogy of fallot,Pediatrics,,de09d388-bd4e-42a9-ac6b-ee2d95f822e2,multi,Pulmonary atresia,Pulmonary atresia,0.9999998807907104,0.6398270726203918,0.9999998807907104,0.7216830253601074,0.6530539393424988,2
27.	The lateral spread of dental caries is facilitated mostly  by the,,2,Enamel spindles,Dentinoenamel junction,Enamel lamellae,Striae of Retzius,Pathology,,384a9281-2ee1-480b-a7d8-fd3ef49558e5,single,Dentinoenamel junction,Dentinoenamel junction,1.0000001192092896,0.7350239753723145,1.0000001192092896,0.7289323806762695,0.6756047606468201,2
A second-year PG resident tells you to perform an ABG of a patient. All of the following are true about performing an ABG except:,"Ans: A. Before performing the ABG, syringe should be loaded with 0.3 cc of heparin(Ref: Harrison 18/e p364; http:// emedicine.medscape.comlaiclell 902703-overview).Care should be taken when measuring blood gases to obtain the aerial blood sample without using excessive heparin.Heparin should be expelled from the syringe after loading as it may lead to false pCO2 readings.Precautions:Most syringes come pre-packaged & contain a small amount of heparin, to prevent coagulation.Other syringes may need to be heparinized, by drawing up a small amount of liquid heparin & squiing it out again to remove air bubbles.Once the sample is obtained, care is taken to eliminate visible gas bubbles, as these bubbles can dissolve into the sample & cause inaccurate results.",1,"Before performing the ABG, syringe should be loaded with 0.3 cc of heparin","Normal pH, HCO. and PCO, levels may not indicate absence of an acid-base imbalance",A different site should be tried i f modified Allen's test is negative,Radial aery is the preferred site,Medicine,,ae860b65-53a5-4547-b627-494174e15c3c,multi,"Before performing the ABG, syringe should be loaded with 0.3 cc of heparin","Before performing the ABG, syringe should be loaded with 0.3 cc of heparin",0.9999999403953552,0.9999999403953552,0.7226495742797852,0.7246448397636414,0.7154843807220459,1
Respiratory rhythm generation center is located at:,"Ans: B. Pre-Botzinger complexRef: Ganong 25Ie p656, 24Ie p658)Rhythmic respiration is initiated by a small group of synaptically coupled pacemaker cells in the pre-Botzinger complex (pre-BOTC) on either side of the medulla between the nucleus ambiguus and the lateral reticular nucleus.The main components of the respiratory control pattern generator responsible for automatic respiration are located in the medulla. Rhythmic respiration is initiated by a small group of synaptically coupled pacemaker cells in the pre-Botzinger complex (pre-BOTC) on either side of the medulla between the nucleus ambiguus and the lateral reticular nucleus.",2,Dorsal respiratory group,Pre-Botzinger complex,Ventral respiratory neurons,Pneumotaxic center,Physiology,,84d89a4f-db04-402d-88ab-ca39f6eee8bd,single,Pre-Botzinger complex,Pre-Botzinger complex,1.0000001192092896,0.6930831670761108,1.0000001192092896,0.6877936720848083,0.7013109922409058,2
Gait apraxia is seen in thromboembolic episode involving:,"Ans. a. ACA (Ref: Harrison 19/e p163, 18/e p193)Gait apraxia is seen in thromboembolic episode involving anterior cerebral aery.Frontal lobe is mainly supplied by anterior cerebral aery; its occlusion leads to gait apraxia",1,ACA,MCA,PCA,Posterior choroidal aery,Medicine,,b1cc4ab0-a82c-437a-88c2-00953f3618ff,single,ACA,ACA,0.9999997615814208,0.9999997615814208,0.6994351744651794,0.8826395273208618,0.6219093799591064,1
Heavy forces on periodontal ligament causes:,,1,Hyalinization,Osteoclastic activity around tooth,Osteoblastic activity around tooth,Crest bone resorption,Dental,,f184a533-98b4-43ad-b1f5-70edc6704d9e,single,Hyalinization,Hyalinization,1.000000238418579,1.0,0.7276995778083801,0.7349697947502136,0.7407834529876709,1
"About N. gonorrhoea, all are true except",,2,Most common cause of urethritis in male,All stains are highly susceptible to penicillin,Wide spread axoregnic stains cause disseminated gonococcal infection,Found exclusively in human beings,Microbiology,,26160738-1887-4252-86d4-1719a5a80bd3,multi,All stains are highly susceptible to penicillin,Option 2,0.6061581969261169,0.5905606150627136,0.6061581969261169,0.585263729095459,0.6237074136734009,4
